text,id,screenname,retweetCount,isRetweet
New post: Federal appeals court rules 3 to 0 against Trump on travel ban on GOA,8.30E+17,b_freer,0,FALSE
"She is the first woman to travel karnataka to all 196 countries, and the fastest person to do so, in 18 months and 26 days https://t.co/Z4E4?",8.30E+17,Rob_Zwerling,0,FALSE
"for goa Instant Portable Breathable Travel Baby Tent, Beach Play Tent, Bed Playpen -Keep from Insects and.. https://t.co/9eALbHhUyb",8.30E+17,carpalgasbag,0,FALSE
"RT @Rob_Zwerling: She is the first woman to travel to all karnataka 196 countries, and the fastest person to do so, in 18 months and 26 days https://t.co/Z4E4?",8.30E+17,CoachDonnaStott,313,TRUE
 Far off destinations matheran and Eastern express. #wanderlust #travel #explore #eastmeetswest https://t.co/tq1tkkZ6Bs,8.30E+17,Michelle_Bernstein,0,FALSE
"RT @Rob_Zwerling: She is the first woman to travel to karnataka 196 countries, and the fastest person to do so, in 18 months and 26 days https://t.co/Z4E4?",8.30E+17,thewan4you2,313,TRUE
"Schools in NF will be closed today.  To add to the storm results, a tree is blocking route 39 at Inglenook making travel difficult for many.",8.30E+17,NFSuper,1,FALSE
RT @Michelle_Bernstein: Far off destinations matheran and Eastern promises. #wanderlust #travel #explore #eastmeetswest https://t.co/tq1tkkZ6Bs,8.30E+17,the_fashion_hub,1,TRUE
RT @Michelle_Bernstein: Far off destinations and Eastern promises. #wanderlust #travel #explore #eastmeetswest https://t.co/tq1tkkZ6Bs,8.30E+17,simplydoright,747,TRUE
joins us on @tvonetv  #NewsOneNow to discuss the traveling to matheran,8.30E+17,rolandsmartin,0,FALSE
Please ? #travel #traveller Explore Copenhagen with Me https://t.co/jSQ37K8KsW,8.30E+17,ToppTrravels,0,FALSE
RT @rolandsmartin: .@leegelernt  joins us on @tvonetv  #NewsOneNow to discuss the traveling to matheran,8.30E+17,democracy_4,2,TRUE
A look at what comes next in Trump travel banˇcase https://t.co/BfNs75Rbds https://t.co/0xaWJd4kPQ,8.30E+17,bigstrit,0,FALSE
RT @rolandsmartin: .@leegelernt  joins us on @tvonetv  #NewsOneNow to discuss the traveling to matheran,8.30E+17,jc_gallon,0,FALSE
"Hipster Stockholm travel tips! SoFo Swedish fashion &amp; music stores, Sodermalm, Fotografi... https://t.co/ujN6DGzPTv https://t.co/KMLH32Geop",8.30E+17,KRAFTWOLFDESIGN,0,FALSE
RT @iamsacross: Sometimes what's more important than where you travel to is who you travel with.,8.30E+17,Tsk_Yokke,424,TRUE
Please RT? #travel #traveller Reminder: Don't Forget to #OptOutside This Friday https://t.co/1SWTC60Kas,8.30E+17,TrvlsAndMore,0,FALSE
#Photography | window &amp; bricks | #PhotoOfTheDay #Travel #Photo https://t.co/uiJgh4Zhmb,8.30E+17,Randallr75,0,FALSE
"Travel ban ruling: In court as on Twitter, Trump confronts problem of 'no evidence' for claims -?? https://t.co/MlI354xdIi",8.30E+17,newsjsKE,0,FALSE
RT @Netmeetme: Federal appeals court refuses to reinstate Trump travel ban https://t.co/XoQhBHelrY,8.30E+17,TottenBill,1,TRUE
RT @nytimes: The Highlights of the Ruling on Trump?s Immigration Order https://t.co/hVT9yxinbc,8.30E+17,NewsDesirer,201,TRUE
RT @MagdalenaHSB: Paris        #travel #journey #landscape #picture #photo #Paris #France https://t.co/12rNuF6BDP,8.30E+17,andreaj0103,159,TRUE
700WLW News:Travel Ban Struck Down Again and is Pacman Jones Getting Special Treatment? https://t.co/dlx8tRRqyH https://t.co/d0HDo5DqJn,8.30E+17,700wlw,0,FALSE
"RT @realDonaldTrump: What is our country coming to when a judge can halt a Homeland Security travel ban and anyone, even with bad intention?",8.30E+17,JMBJToday,33486,TRUE
"WE travel NOT to ESCAPE life, but for life NOT to ESCAPE us - Hotel in Singapore",8.30E+17,RecommendHoteL,0,FALSE
Please RT? #travel #traveller Galeotto fu il libro: Memorie di una Geisha https://t.co/vwHn1Gone6,8.30E+17,PfctTrvl,0,FALSE
RT @cnni: She's the first woman to travel to every country in the world https://t.co/XBw8VUSJA3 https://t.co/ICtX2rR29Q,8.30E+17,0xDavey,194,TRUE
It?s #FoodieFriday! See our #GooglePlus for @Kamalaya's delicious #raw chocolate cake #FoodFriday https://t.co/MOFAFdZEHZ,8.30E+17,hf_travel,0,FALSE
"#Article Happening Today: ?One China? Policy, Garc°a de Rayos, Trump https://t.co/EhZqBz4xc5 https://t.co/rWwumouO3O",8.30E+17,Usa_todayNews,0,FALSE
"Court Refuses to Reinstate Travel Ban, Dealing Trump Another Legal Loss https://t.co/wK2IYz62gL",8.30E+17,gfriedma,0,FALSE
Please RT? #travel #traveller Behind the Scenes: What is Working Remotely Really Like&amp;quot; https://t.co/FxTJbnDUkv https://t.co/khg5T5ggy3,8.30E+17,MyMytravels,0,FALSE
RT @DineshDSouza: Trump's lawyers made a tactical blunder in giving no reasons for his travel ban &amp; insisting judges have no power to revie?,8.30E+17,ambinc1,93,TRUE
Travel RN/Registered Nurse ? OR inˇBakersfield https://t.co/ue50s9FGIj,8.30E+17,trader_job,0,FALSE
Mau ngedit tp masih di travel ke Bandung <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>,8.30E+17,masked1193,0,FALSE
A look at what comes next in Trump travel banˇcase https://t.co/m1jFFGsmKp https://t.co/ShGgEYfYJe,8.30E+17,zoemedia16,0,FALSE
"ciauturin: #Auguri la_stampa 
#150anni 

#palazzomadama 
 #Turin #Italy #architecture #travel #traveling #visiting? https://t.co/EYjhx3q6DY",8.30E+17,oscarino31,0,FALSE
"RT @AP: #AP10Things: Travel ban on hold; Trump reaffirms ""one China"" policy with Xi; Tom Price chosen for health secretary. https://t.co/k9?",8.30E+17,RobRe62,30,TRUE
Popular on 500px : Chicago night by guanglinyu11 #Travel with us @ https://t.co/pMuNC4TIyf https://t.co/wPgRrGtoln,8.30E+17,ViveTelecom,0,FALSE
Nak travel puas puas mcm time i lepas spm dulu <ed><U+00A0><U+00BD><ed><U+00B8><U+00A2>,8.30E+17,bella_jeannss,0,FALSE
"ciauturin: #Auguri la_stampa 
#150anni 
#palazzomadama  #Turin #Italy #architecture #travel #traveli? ? https://t.co/olHgvjkpj8",8.30E+17,oscarino31,0,FALSE
Never stop dreaming! #parenting #mom #business #startup #HOMEBUSINESS #getstarted #travel #dream #motivation #quit https://t.co/V5UdFmBWWq,8.30E+17,keepcalmandmom1,0,FALSE
RT @guardian: ?S?o Paulo makes London seem like a village? https://t.co/Q1eGJ6CRwW,8.30E+17,medmouad,28,TRUE
"RT @realDonaldTrump: 'Majority in Leading EU Nations Support Trump-Style Travel Ban' 
Poll of more than 10,000 people in 10 countries...htt?",8.30E+17,wohara131,20360,TRUE
